location,species
G-tumida/d9bbfbfba6404692ad27536d06013e0c.tif,G-tumida
G-crassaformis/3f3f33d496984a6ea8fac276ed4c5af2.tif,G-crassaformis
N-humerosa/797ea9742b8a464fa9d74efad677dd22.tif,N-humerosa
G-tumida/2b072646fb104dfa8630a9c3397f2b05.tif,G-tumida
N-acostaensis/f0bf5a191577451d8cd841c273d3d5a7.tif,N-acostaensis
G-truncatulinoides/3b348542f89b4bd19e90ff428cc73fc9.tif,G-truncatulinoides
G-tumida/cbc9cd3bdaf344ae80533b4f04718b4f.tif,G-tumida
G-ruber/b0871a88d6b74ff39e5af7f72c9b4ffc.tif,G-ruber
N-dutertrei/5ce75af6e1734c84b30901c5238aaabf.tif,N-dutertrei
G-ungulata/8c07c40f71524cd5930f422ca240eee9.tif,G-ungulata
G-tumida/d0f74ae3a2a0445bb460f38e110f4af9.tif,G-tumida
G-truncatulinoides/ca7f38f36ed44c048cabf51bc203bc06.tif,G-truncatulinoides
G-scitula/8698cbf30b934f2391ef9a2539e10b55.tif,G-scitula
G-siphonifera/6c3275accebb4118b908f13ed79515fa.tif,G-siphonifera
N-acostaensis/64fa5ed2fe434ab3b212e2030cd4f9ce.tif,N-acostaensis
N-humerosa/11907e1caa1741e387e760b66a58789a.tif,N-humerosa
S-dehiscen/6e3b1c8786524c8c9127b8740a622789.tif,S-dehiscen
S-dehiscen/ffffb9a274ea4121837129804097f8a9.tif,S-dehiscen
G-scitula/8eb4fbc90c094b9885f1c2ea5397f06c.tif,G-scitula
P-obliquiloculata/c2b90458409d44f99518e0ea4a4a0f90.tif,P-obliquiloculata
G-siphonifera/1e3bcba7d63244c38cbb1fe285aa421d.tif,G-siphonifera
G-tumida/d19e4098f2454609958d9f891bcc8156.tif,G-tumida
P-obliquiloculata/6393ee5e218c4eaf8a5ea68ef35beda4.tif,P-obliquiloculata
G-crassaformis/fe55d61db41e41d9b8c62a7488310de5.tif,G-crassaformis
N-acostaensis/3c59dc6f7226476c9d0c671778caf60c.tif,N-acostaensis
G-ungulata/691ca1669b374663b923ec6d26abe6b0.tif,G-ungulata
G-ruber/a4ebde7058be461a99fb2f630241d371.tif,G-ruber
G-truncatulinoides/b31685b1fa4f4a51a7cdeb8a8b6350df.tif,G-truncatulinoides
G-truncatulinoides/b85bc55e61a94768af2b6eb94bd80414.tif,G-truncatulinoides
S-dehiscen/3b687593471e4d65b3eab9a0244987c7.tif,S-dehiscen
G-sacculifer/97e6c62746df4706b069aac73e001337.tif,G-sacculifer
P-obliquiloculata/f498781b46f045a6ab01806ec9372c7e.tif,P-obliquiloculata
G-sacculifer/f96c48f5898248f1b46074119b6412d3.tif,G-sacculifer
G-siphonifera/859db55b3d544e5fad9688e48a6878c6.tif,G-siphonifera
G-truncatulinoides/a7e83327de0a44ffb8d36a796339dc70.tif,G-truncatulinoides
G-truncatulinoides/6aa4dd3598b74620a4a67b97750e3031.tif,G-truncatulinoides
O-universa/98f07675e1384a729ceb980d3d5abc43.tif,O-universa
G-crassaformis/f9fac33871344b0e97b02a8e97554061.tif,G-crassaformis
