location,species
S-dehiscen/2c61edb505b3455a9b27244d0a215133.tif,S-dehiscen
N-humerosa/79bce5c280bd44a7a28396c8258638c5.tif,N-humerosa
P-obliquiloculata/1a49a551eb23402e98e605971daac9a8.tif,P-obliquiloculata
P-obliquiloculata/a8ff5890cf4049a3bcb14dd97b12643b.tif,P-obliquiloculata
N-humerosa/7f57a6e4975145d8a0af8714e9d61eda.tif,N-humerosa
G-truncatulinoides/a58c7544dcc843f8bead1cae01f75e81.tif,G-truncatulinoides
G-tumida/1d1e014aa9f34306bdfcb6d2239bab35.tif,G-tumida
S-dehiscen/17db313c8b834e37bc5a47ef61db7ba1.tif,S-dehiscen
S-dehiscen/34ddf43daed44fd1949d99e9f7a0f2b8.tif,S-dehiscen
O-universa/cc040450cb1b4c4da2ddffa8c3469ccc.tif,O-universa
G-tumida/f94771a749d5407db614bbc2c6912a42.tif,G-tumida
N-acostaensis/75e78d77beec4160a9c0f0914283c00b.tif,N-acostaensis
G-ruber/6af619a25f6d4459bda45ef95d3be0d4.tif,G-ruber
G-tumida/f3e06b77d22342018ce2c38893045f7f.tif,G-tumida
G-truncatulinoides/2d50290789e54c409f7cbe186ea44b0b.tif,G-truncatulinoides
G-tumida/2d65f6550f344f468179335a8c8cccb3.tif,G-tumida
G-truncatulinoides/e69b3f0e4abd46b1a28d8e24a4bbad33.tif,G-truncatulinoides
G-siphonifera/f3c12a9c970d4cd2be4398ae49f6a019.tif,G-siphonifera
S-dehiscen/513f1023b2ac451e8be6614a7e0d2724.tif,S-dehiscen
G-sacculifer/9238b98880264c6c99ea41fa2f6583bd.tif,G-sacculifer
G-sacculifer/e10ec1c04f5b42cc864128b213a1d5ae.tif,G-sacculifer
G-sacculifer/2d819a1708284536a253a4ea4ebff519.tif,G-sacculifer
G-ruber/06f0d4b316894334ad5a1756efa8c75c.tif,G-ruber
G-elongatus/a60f4d17689b4bc2a58594991a1fee68.tif,G-elongatus
G-sacculifer/13ab93c30c2d4769b85e0c33eb50e3e3.tif,G-sacculifer
G-sacculifer/87b506d6549e49f6beddaef909592b5e.tif,G-sacculifer
G-truncatulinoides/d9a27aa274e74cdf91cd8313f05cf324.tif,G-truncatulinoides
G-ruber/640e3b4a3edc42e1a1e428c768e286a8.tif,G-ruber
P-obliquiloculata/85d5a3860e974f0f94fa746f3812b8f4.tif,P-obliquiloculata
G-ruber/7a2c149374434c2384e9f3cd1d24c963.tif,G-ruber
G-ruber/d071694565f243d2a95b969f5fbe6f9e.tif,G-ruber
N-humerosa/08f28b868b324b339ab8b051c9c6bb50.tif,N-humerosa
S-dehiscen/1b24d04485db418f8fea1ba584ab61c8.tif,S-dehiscen
G-tumida/fa820b5c7f3a49738f3094d8e8d4637a.tif,G-tumida
G-tumida/bab05abc1a9f4584b95023d426e40529.tif,G-tumida
G-tumida/947befc4609145f89664cbe5197d4346.tif,G-tumida
P-obliquiloculata/d4084f96a0a443369c01aaab626158d3.tif,P-obliquiloculata
P-obliquiloculata/61fa0039ed134b4b9daec2fda4a05aff.tif,P-obliquiloculata
N-humerosa/407fc6e1075b4481b07596167e53b199.tif,N-humerosa
N-acostaensis/5a2b15458b82461fa44ce7ede5134c36.tif,N-acostaensis
G-sacculifer/e66bc89adfec446f8f725610bb0f006f.tif,G-sacculifer
G-scitula/3a7263615ace41cda5396b2043ca66cd.tif,G-scitula
S-dehiscen/df1425a28e2d4e9c901b2aa4060254fc.tif,S-dehiscen
G-scitula/8c168418d54c4351b6437d4542abb64b.tif,G-scitula
G-tumida/4a71aecfc65144f6ae5a020ab7df53f8.tif,G-tumida
G-ungulata/397e1df30e6c493b8fef6faf75477e8f.tif,G-ungulata
G-tumida/889202a1007c49aab723c6950f1cb796.tif,G-tumida
G-crassaformis/6f405b48ed9c45b8aec397f9bcca702f.tif,G-crassaformis
G-tumida/a83a2e736ffe43b29c18fdd74d9056a1.tif,G-tumida
G-scitula/65ba703fe8014f38b0a174664cae5fcb.tif,G-scitula
N-dutertrei/bd2f31562d064f9281a7ddd6de4cbfb4.tif,N-dutertrei
G-ungulata/fc3fa71d39104f4fb4b2154d85d7ab90.tif,G-ungulata
G-siphonifera/fdf39bbf3d764fca9f4124acdd88fa47.tif,G-siphonifera
G-tumida/4a5f5a59d18d45b4b8b271625a5770a0.tif,G-tumida
G-ungulata/4ef2aa97d8b348928c018b266d572f2d.tif,G-ungulata
G-ruber/628a975fd9584ffc8e1274e8b6bc25b3.tif,G-ruber
G-ungulata/c4f07df55a4d4e00a73ea855af69bbb9.tif,G-ungulata
N-humerosa/0d78fc0a71cd4b92a6c535bacfc070dd.tif,N-humerosa
O-universa/43b2d933603448658b46853c5d29753d.tif,O-universa
P-obliquiloculata/77824918bc1348fb93a83377ae3e7266.tif,P-obliquiloculata
N-humerosa/f66793d5487a49fe9e41adc85fc2e243.tif,N-humerosa
G-truncatulinoides/b7a9a5c7892f40659b5c5885539eeeb9.tif,G-truncatulinoides
G-ungulata/58dee0a1b5544ef1919be9df83c59c96.tif,G-ungulata
N-humerosa/f08f35af83ef49189eb8e3009f316beb.tif,N-humerosa
G-ruber/3f8de84a76bf4f8689d51f073a9aa3c1.tif,G-ruber
N-acostaensis/4f74acb12f4a45fa8c0a068c5493c53c.tif,N-acostaensis
N-acostaensis/43b2d951ffb447d19232c95d71cbfe98.tif,N-acostaensis
G-ruber/e1c6a37e11104ca89cce0f2373bedc4e.tif,G-ruber
N-dutertrei/a4cd34b9c6d5420784b82f1f8708eb3a.tif,N-dutertrei
N-humerosa/09c1c2a655744f9f85b542964a94edc0.tif,N-humerosa
G-crassaformis/b7f964fd583449b1b8591416e1e1a5f1.tif,G-crassaformis
S-dehiscen/d43bb763debb465a8df2c6103def7eb7.tif,S-dehiscen
G-ungulata/f60d7d3c76c5471e954540472997ffa9.tif,G-ungulata
G-crassaformis/fd88c97f63e24797b430d128b0e2e623.tif,G-crassaformis
G-elongatus/b8bc02377a404b829a11fee46d448172.tif,G-elongatus
G-scitula/1d495820b3f341b58be799fe72a2f37c.tif,G-scitula
G-siphonifera/318d9ae50e234bdeb1acf25d007ded26.tif,G-siphonifera
G-ruber/c88cc231f8b1451a9fb71320aad4f2b1.tif,G-ruber
G-ungulata/047e55f31dd34791b99b88f47ffbf36b.tif,G-ungulata
S-dehiscen/6a738ef3a6c54e4987680caf94b94394.tif,S-dehiscen
G-tumida/16b26860effa4961b2f885f51e26f2a9.tif,G-tumida
G-scitula/9edf3ae9907549679e6997e746804a9c.tif,G-scitula
N-humerosa/8517ca8f4b63401bb2f789056f83a0b1.tif,N-humerosa
G-sacculifer/0e2b6f636fd7478d963edafb87fe70ba.tif,G-sacculifer
P-obliquiloculata/c9e25571095045c99706a4c341f69151.tif,P-obliquiloculata
G-truncatulinoides/8fc3750445f74084b15d6c6f9edab2ca.tif,G-truncatulinoides
S-dehiscen/a90372d0f4604bbbaead5bb8f65cc855.tif,S-dehiscen
G-ruber/516527a9b55440be840fab23bd766c60.tif,G-ruber
G-scitula/b1beb861d0464bd49b2b5f97d6f30d4f.tif,G-scitula
G-crassaformis/30a2f1f1b6054b64a2e54027184b8759.tif,G-crassaformis
G-tumida/637104c88bec4cb0add56a457392e81d.tif,G-tumida
N-humerosa/e91f05abcee34061b9dcf5014002c4b9.tif,N-humerosa
G-truncatulinoides/b3fab6711d7244cfbe1480bc51ecb604.tif,G-truncatulinoides
G-crassaformis/3eec85320f954189b59b8403dd36ebe8.tif,G-crassaformis
G-siphonifera/a02c21f9c38d4ce8896af9e1ca2240e5.tif,G-siphonifera
N-acostaensis/1454c37dbafc480f95500176edc0327e.tif,N-acostaensis
G-truncatulinoides/bba0a864cf214312b894a2ab90c639b1.tif,G-truncatulinoides
N-acostaensis/54b469e1fccb4657b4d92d43af605261.tif,N-acostaensis
P-obliquiloculata/c6ff39506bfd4a2a8fc849efd5939137.tif,P-obliquiloculata
G-siphonifera/13f7584c6d7b4e4cb5038d54f3b442af.tif,G-siphonifera
G-sacculifer/c84dc02437da417994187fcc424a1f80.tif,G-sacculifer
G-tumida/c865296a4d9840fc93ec7c8acf59f1d5.tif,G-tumida
G-truncatulinoides/d00cedd3ed984fd99832ec30c4c039af.tif,G-truncatulinoides
G-siphonifera/0b310415aeb841569a2d9f94d7fd3ab6.tif,G-siphonifera
S-dehiscen/d9a2decc3ad34b02bb2fa81dd4810871.tif,S-dehiscen
G-crassaformis/f24e9675f6b446aba1a98451d2b3d1c5.tif,G-crassaformis
G-ruber/a4210d769dc04a4bbd1a557cf29774ff.tif,G-ruber
G-siphonifera/fa7a0500738c4dd58139d17afb39dec7.tif,G-siphonifera
G-elongatus/77bf5b73aab84ac5bfa0ff30f1f6261b.tif,G-elongatus
N-humerosa/dbe440b95a2e4bfaa05557b138eebc06.tif,N-humerosa
G-truncatulinoides/9e223d2f57f24908b65089b05cfafedc.tif,G-truncatulinoides
G-tumida/57997ef5dced4352a146ef6231713185.tif,G-tumida
G-crassaformis/2726475d246c4e219277def628cc5e13.tif,G-crassaformis
G-tumida/c288909018994650bec2cbc0ec9795fa.tif,G-tumida
P-obliquiloculata/8c90e356bded41fe93c03784d95fce9c.tif,P-obliquiloculata
G-sacculifer/656c5d1f2ac74f18a6c4b775e00f5cd2.tif,G-sacculifer
G-siphonifera/4425ca46e49d49ce970a699dc16c6633.tif,G-siphonifera
G-tumida/156efc817c8e4a07bfe83185cbf8d76e.tif,G-tumida
G-truncatulinoides/12b1cf317dfb4d45abf524f394d18f84.tif,G-truncatulinoides
N-acostaensis/245f3028d4f242db8c6933106a92609f.tif,N-acostaensis
G-truncatulinoides/dfb89b6c57af457dae8fef626b26483a.tif,G-truncatulinoides
G-scitula/cfd3909abb424d61b4251afee6e876bd.tif,G-scitula
N-acostaensis/13197fd2cf8d460c92997c6f89e728e7.tif,N-acostaensis
G-truncatulinoides/cbba854a50c8458a836f36f2b4c6aa23.tif,G-truncatulinoides
G-siphonifera/53a90e1d3c5d43158d93ac02676c3aac.tif,G-siphonifera
G-scitula/5bd5ad958df94bd19e1f3253044ab803.tif,G-scitula
N-acostaensis/566378506e55491b9426427c7154da1d.tif,N-acostaensis
S-dehiscen/4c8096a53bd64ed69b8942a821b7d79b.tif,S-dehiscen
G-truncatulinoides/31008bb816864ba8954a39f249c959c9.tif,G-truncatulinoides
G-sacculifer/3c5d3d612cd5495d960c46ae9c44121a.tif,G-sacculifer
G-scitula/93ea0f9c1c204e5fa8c361386273dbff.tif,G-scitula
S-dehiscen/a8b99fb0b2ad40faaf75e7d62c130d1a.tif,S-dehiscen
G-sacculifer/0e8e0d609e4044f1852f420f0d73d280.tif,G-sacculifer
G-ungulata/235cc307a2b24fe39e69dd89a2d5f52a.tif,G-ungulata
P-obliquiloculata/a8ca2dcf9c144ecd9264e7bfa0c848a2.tif,P-obliquiloculata
G-siphonifera/7aae03a09bb04cbfbbb2c63501a7c7ae.tif,G-siphonifera
G-ruber/14f637f1bdf84150a350c23c5d67f7a8.tif,G-ruber
G-sacculifer/535d49fd1e524ca793b1a27f6c1e7ceb.tif,G-sacculifer
S-dehiscen/93b3e08f49bf404b943dcc0f5086e395.tif,S-dehiscen
G-ruber/764f246eab284eb4b146ebcf35d810c2.tif,G-ruber
P-obliquiloculata/54c84c178e894534b02c2ed4f55ef5dd.tif,P-obliquiloculata
G-ruber/bf691268b8f04406a41f155c4852e0e2.tif,G-ruber
