,phase,epoch_loss,epoch_acc
0,train,2.596967171256741,"tensor(0.1862, device='cuda:0', dtype=torch.float64)"
1,val,1.986802636844813,"tensor(0.4079, device='cuda:0', dtype=torch.float64)"
2,train,2.247094270462791,"tensor(0.3190, device='cuda:0', dtype=torch.float64)"
3,val,1.430051984599533,"tensor(0.5037, device='cuda:0', dtype=torch.float64)"
4,train,1.9088394241407514,"tensor(0.3945, device='cuda:0', dtype=torch.float64)"
5,val,1.2504879110275382,"tensor(0.5946, device='cuda:0', dtype=torch.float64)"
6,train,1.857809561304748,"tensor(0.4102, device='cuda:0', dtype=torch.float64)"
7,val,1.2069684574586461,"tensor(0.6364, device='cuda:0', dtype=torch.float64)"
8,train,1.7154567235459883,"tensor(0.4753, device='cuda:0', dtype=torch.float64)"
9,val,1.0265968285995268,"tensor(0.7076, device='cuda:0', dtype=torch.float64)"
10,train,1.5103824567049742,"tensor(0.5221, device='cuda:0', dtype=torch.float64)"
11,val,0.9842034626651455,"tensor(0.6757, device='cuda:0', dtype=torch.float64)"
12,train,1.381773694884032,"tensor(0.5625, device='cuda:0', dtype=torch.float64)"
13,val,0.8612027156569466,"tensor(0.7297, device='cuda:0', dtype=torch.float64)"
14,train,1.1395708269750078,"tensor(0.6289, device='cuda:0', dtype=torch.float64)"
15,val,0.6160927779551513,"tensor(0.8084, device='cuda:0', dtype=torch.float64)"
16,train,1.076618319687744,"tensor(0.6732, device='cuda:0', dtype=torch.float64)"
17,val,0.5937693811751701,"tensor(0.8182, device='cuda:0', dtype=torch.float64)"
18,train,0.9809333017716805,"tensor(0.7018, device='cuda:0', dtype=torch.float64)"
19,val,0.5683461590246721,"tensor(0.8133, device='cuda:0', dtype=torch.float64)"
20,train,0.9751366113002101,"tensor(0.7161, device='cuda:0', dtype=torch.float64)"
21,val,0.6064610302594722,"tensor(0.8182, device='cuda:0', dtype=torch.float64)"
22,train,0.9130088230594993,"tensor(0.7174, device='cuda:0', dtype=torch.float64)"
23,val,0.5268718071776175,"tensor(0.8403, device='cuda:0', dtype=torch.float64)"
24,train,0.8559059019510945,"tensor(0.7331, device='cuda:0', dtype=torch.float64)"
25,val,0.516968839584463,"tensor(0.8501, device='cuda:0', dtype=torch.float64)"
26,train,0.9524041153490543,"tensor(0.6966, device='cuda:0', dtype=torch.float64)"
27,val,0.5164976881528662,"tensor(0.8550, device='cuda:0', dtype=torch.float64)"
28,train,0.9317504015440742,"tensor(0.7148, device='cuda:0', dtype=torch.float64)"
29,val,0.5254529735270238,"tensor(0.8403, device='cuda:0', dtype=torch.float64)"
30,train,0.9046651444708308,"tensor(0.7253, device='cuda:0', dtype=torch.float64)"
31,val,0.5054927024560127,"tensor(0.8550, device='cuda:0', dtype=torch.float64)"
32,train,0.8743215507517258,"tensor(0.7331, device='cuda:0', dtype=torch.float64)"
33,val,0.5079180971703307,"tensor(0.8550, device='cuda:0', dtype=torch.float64)"
34,train,0.8378251440202197,"tensor(0.7266, device='cuda:0', dtype=torch.float64)"
35,val,0.47511272062833537,"tensor(0.8649, device='cuda:0', dtype=torch.float64)"
36,train,0.8685164622341593,"tensor(0.7500, device='cuda:0', dtype=torch.float64)"
37,val,0.47215052553010917,"tensor(0.8722, device='cuda:0', dtype=torch.float64)"
38,train,0.8966916147619486,"tensor(0.7240, device='cuda:0', dtype=torch.float64)"
39,val,0.4539630893407348,"tensor(0.8722, device='cuda:0', dtype=torch.float64)"
40,train,0.850005415889124,"tensor(0.7422, device='cuda:0', dtype=torch.float64)"
41,val,0.5025988831882724,"tensor(0.8673, device='cuda:0', dtype=torch.float64)"
42,train,0.7465664062959453,"tensor(0.7578, device='cuda:0', dtype=torch.float64)"
43,val,0.4896313968487542,"tensor(0.8600, device='cuda:0', dtype=torch.float64)"
44,train,0.9161059511825442,"tensor(0.7070, device='cuda:0', dtype=torch.float64)"
45,val,0.48259327804134283,"tensor(0.8550, device='cuda:0', dtype=torch.float64)"
46,train,0.8165434934198856,"tensor(0.7526, device='cuda:0', dtype=torch.float64)"
47,val,0.5165224461942106,"tensor(0.8575, device='cuda:0', dtype=torch.float64)"
48,train,0.8052375089998046,"tensor(0.7552, device='cuda:0', dtype=torch.float64)"
49,val,0.4844479244522732,"tensor(0.8624, device='cuda:0', dtype=torch.float64)"
