,phase,epoch_loss,epoch_acc
0,train,2.5615030406042933,"tensor(0.2227, device='cuda:0', dtype=torch.float64)"
1,val,1.8473014738410711,"tensor(0.4661, device='cuda:0', dtype=torch.float64)"
2,train,2.115538177701334,"tensor(0.3281, device='cuda:0', dtype=torch.float64)"
3,val,1.6546194572001696,"tensor(0.5573, device='cuda:0', dtype=torch.float64)"
4,train,1.8505525141954422,"tensor(0.4245, device='cuda:0', dtype=torch.float64)"
5,val,1.5869153471042712,"tensor(0.6016, device='cuda:0', dtype=torch.float64)"
6,train,1.7335623083636165,"tensor(0.4622, device='cuda:0', dtype=torch.float64)"
7,val,1.381254601602753,"tensor(0.6172, device='cuda:0', dtype=torch.float64)"
8,train,1.6537498763451974,"tensor(0.4922, device='cuda:0', dtype=torch.float64)"
9,val,0.9406560386220614,"tensor(0.7344, device='cuda:0', dtype=torch.float64)"
10,train,1.5835164881621797,"tensor(0.5286, device='cuda:0', dtype=torch.float64)"
11,val,1.0419012183944385,"tensor(0.6693, device='cuda:0', dtype=torch.float64)"
12,train,1.4430485578874748,"tensor(0.5508, device='cuda:0', dtype=torch.float64)"
13,val,1.0897833034396172,"tensor(0.6771, device='cuda:0', dtype=torch.float64)"
14,train,1.1858920476709802,"tensor(0.6341, device='cuda:0', dtype=torch.float64)"
15,val,0.5611340887844563,"tensor(0.7839, device='cuda:0', dtype=torch.float64)"
16,train,1.0545640240112941,"tensor(0.6706, device='cuda:0', dtype=torch.float64)"
17,val,0.5282584273566803,"tensor(0.8151, device='cuda:0', dtype=torch.float64)"
18,train,1.0038576793546479,"tensor(0.6875, device='cuda:0', dtype=torch.float64)"
19,val,0.4940383241822322,"tensor(0.8307, device='cuda:0', dtype=torch.float64)"
20,train,0.9708763537928462,"tensor(0.6810, device='cuda:0', dtype=torch.float64)"
21,val,0.45419024986525375,"tensor(0.8594, device='cuda:0', dtype=torch.float64)"
22,train,0.9515501344576478,"tensor(0.7214, device='cuda:0', dtype=torch.float64)"
23,val,0.4552325041343768,"tensor(0.8516, device='cuda:0', dtype=torch.float64)"
24,train,0.9039645087905228,"tensor(0.7357, device='cuda:0', dtype=torch.float64)"
25,val,0.37488990649580956,"tensor(0.8724, device='cuda:0', dtype=torch.float64)"
26,train,0.9254902973771095,"tensor(0.7240, device='cuda:0', dtype=torch.float64)"
27,val,0.3740020828942458,"tensor(0.8828, device='cuda:0', dtype=torch.float64)"
28,train,0.834649272573491,"tensor(0.7448, device='cuda:0', dtype=torch.float64)"
29,val,0.3643514023472865,"tensor(0.8750, device='cuda:0', dtype=torch.float64)"
30,train,0.8547137873247266,"tensor(0.7396, device='cuda:0', dtype=torch.float64)"
31,val,0.3679675317058961,"tensor(0.8828, device='cuda:0', dtype=torch.float64)"
32,train,0.8401820762082934,"tensor(0.7630, device='cuda:0', dtype=torch.float64)"
33,val,0.3610220979899168,"tensor(0.8698, device='cuda:0', dtype=torch.float64)"
34,train,0.8487286999200782,"tensor(0.7552, device='cuda:0', dtype=torch.float64)"
35,val,0.3777355706940095,"tensor(0.8698, device='cuda:0', dtype=torch.float64)"
36,train,0.8832520156477889,"tensor(0.7370, device='cuda:0', dtype=torch.float64)"
37,val,0.3982304483652115,"tensor(0.8542, device='cuda:0', dtype=torch.float64)"
38,train,0.8561136548717817,"tensor(0.7539, device='cuda:0', dtype=torch.float64)"
39,val,0.36674199625849724,"tensor(0.8932, device='cuda:0', dtype=torch.float64)"
40,train,0.8509966796264052,"tensor(0.7370, device='cuda:0', dtype=torch.float64)"
41,val,0.3529759421944618,"tensor(0.8906, device='cuda:0', dtype=torch.float64)"
42,train,0.7947201772282521,"tensor(0.7565, device='cuda:0', dtype=torch.float64)"
43,val,0.3680172264575958,"tensor(0.8698, device='cuda:0', dtype=torch.float64)"
44,train,0.8253656383603811,"tensor(0.7539, device='cuda:0', dtype=torch.float64)"
45,val,0.3626552640149991,"tensor(0.8750, device='cuda:0', dtype=torch.float64)"
46,train,0.8600466162897646,"tensor(0.7344, device='cuda:0', dtype=torch.float64)"
47,val,0.3528765483448903,"tensor(0.8880, device='cuda:0', dtype=torch.float64)"
48,train,0.838734281094124,"tensor(0.7409, device='cuda:0', dtype=torch.float64)"
49,val,0.3547179500261943,"tensor(0.8880, device='cuda:0', dtype=torch.float64)"
